nome_pc,cpu_modelo,cpu_temp,cpu_uso,cpu_energia,ram_uso,ram_utilizada,ram_livre,
GUSNAWEB,Intel Core i5-8350U,84.0,15.8,19.0,91.2,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,90.0,13.0,19.0,91.2,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,91.0,12.3,22.5,91.4,7.2,0.7,
GUSNAWEB,Intel Core i5-8350U,87.0,11.4,15.0,91.4,7.2,0.7,
GUSNAWEB,Intel Core i5-8350U,90.0,13.5,17.1,91.4,7.2,0.7,
GUSNAWEB,Intel Core i5-8350U,90.0,11.2,16.5,91.4,7.2,0.7,
GUSNAWEB,Intel Core i5-8350U,72.0,11.3,15.7,91.5,7.2,0.7,
GUSNAWEB,Intel Core i5-8350U,89.0,11.2,15.6,91.5,7.2,0.7,
GUSNAWEB,Intel Core i5-8350U,92.0,12.1,18.8,91.5,7.2,0.7,
GUSNAWEB,Intel Core i5-8350U,88.0,15.4,20.1,91.5,7.2,0.7,
GUSNAWEB,Intel Core i5-8350U,88.0,11.2,14.1,91.5,7.2,0.7,
GUSNAWEB,Intel Core i5-8350U,86.0,10.5,13.2,91.5,7.2,0.7,
GUSNAWEB,Intel Core i5-8350U,87.0,12.0,14.0,91.5,7.2,0.7,
GUSNAWEB,Intel Core i5-8350U,87.0,10.4,13.7,91.5,7.2,0.7,
GUSNAWEB,Intel Core i5-8350U,78.0,12.3,14.1,91.0,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,88.0,12.5,14.5,91.0,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,87.0,12.6,14.6,91.1,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,88.0,12.8,15.3,91.2,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,87.0,12.7,16.4,90.8,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,91.0,12.5,14.6,90.8,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,88.0,11.4,14.6,90.8,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,89.0,12.1,15.3,90.6,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,83.0,12.6,15.3,90.6,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,86.0,10.6,14.4,90.5,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,87.0,15.4,13.6,90.6,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,84.0,12.5,16.3,90.6,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,80.0,18.2,14.8,90.7,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,78.0,11.5,18.7,90.8,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,86.0,11.3,18.0,90.7,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,86.0,12.2,17.5,90.7,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,88.0,13.9,19.1,90.8,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,88.0,12.2,17.4,90.8,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,88.0,12.3,16.2,90.8,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,85.0,14.2,14.8,90.8,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,84.0,10.9,16.6,90.8,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,87.0,14.3,13.4,90.8,7.1,0.7,
